chitin cuirass,Chitin Cuirass
chitin pauldron - left,Chitin Left Pauldron
chitin pauldron - right,Chitin Right Pauldron
chitin boots,Chitin Boots
chitin greaves,Chitin Greaves
chitin helm,Chitin Helm
chitin guantlet - left,Chitin Left Gauntlet
chitin guantlet - right,Chitin Right Gauntlet
indoril shield,Indoril Shield
templar_pauldron_right,Imperial Templar Right Pauldron
templar boots,Imperial Templar Boots
indoril pauldron left,Indoril Left Pauldron
indoril pauldron right,Indoril Right Pauldron
templar bracer left,Imperial Templar Left Bracer
templar bracer right,Imperial Templar Right Bracer
templar_pauldron_left,Imperial Templar Left Pauldron
templar_cuirass,Imperial Templar Knight Cuirass
imperial left pauldron,Imperial Steel Left Pauldron
imperial right pauldron,Imperial Steel Right Pauldron
imperial left gauntlet,Imperial Steel Left Gauntlet
imperial right gauntlet,Imperial Steel Right Gauntlet
imperial boots,Imperial Steel Boots
indoril helmet,Indoril Helmet
imperial helmet armor,Imperial Steel Helmet
indoril cuirass,Indoril Cuirass
indoril left gauntlet,Indoril Left Gauntlet
indoril right gauntlet,Indoril Right Gauntlet
indoril boots,Indoril Boots
right leather bracer,Leather Right Bracer
left leather bracer,Leather Left Bracer
cloth bracer left,Cloth Left Bracer
cloth bracer right,Cloth Right Bracer
imperial shield,Imperial Shield
netch_leather_helm,Netch Leather Helm
netch_leather_boiled_helm,Boiled Netch Leather Helm
netch_leather_pauldron_left,Netch Leather Left Pauldron
netch_leather_cuirass,Netch Leather Cuirass
netch_leather_boiled_cuirass,Boiled Netch Leather Cuirass
netch_leather_gauntlet_left,Netch Leather Left Gauntlet
netch_leather_gauntlet_right,Netch Leather Right Gauntlet
netch_leather_greaves,Netch Leather Greaves
netch_leather_boots,Netch Leather Boots
netch_leather_shield,Netch Leather Shield
netch_leather_towershield,Netch Leather Tower Shield
fur_helm,Nordic Fur Helm
fur_colovian_helm,Colovian Fur Helm
fur_pauldron_left,Nordic Fur Left Pauldron
fur_cuirass,Nordic Fur Cuirass
fur_bearskin_cuirass,Nordic Bearskin Cuirass
fur_bracer_left,Nordic Fur Left Bracer
fur_bracer_right,Nordic Fur Right Bracer
fur_greaves,Nordic Fur Greaves
fur_boots,Nordic Fur Boots
nordic_leather_shield,Nordic Leather Shield
